Albanian (Standardized),English,Type,Confidence,Usefulness,Date Learned
Shpejt,Quickly,Adverb,Mastered,5,2/17/2026
bashkë,together,Adverb,Almost There,8,2/18/2026
Ngadalë,Slowly,Adverb,Almost There,8,2/17/2026
Më,More,Adverb,Almost There,8,2/17/2026
Kurrë,Never,Adverb,Almost There,8,2/17/2026
Larg,Far,Adverb,Almost There,8,2/17/2026
Dje,Yesterday,Adverb,Almost There,8,2/17/2026
Pardje,Two days ago,Adverb,Almost There,8,2/17/2026
Sonte,Tonight,Adverb,Almost There,8,2/17/2026
Më parë,Before,Adverb,Almost There,8,2/17/2026
Më vonë,Later,Adverb,Almost There,8,2/17/2026
Brenda,Inside,Adverb,Almost There,8,2/17/2026
Herët,Early,Adverb,Almost There,8,2/17/2026
Jashtë,Outside,Adverb,Almost There,7,2/17/2026
Pra,So,Adverb,Almost There,7,2/17/2026
Lart,Up / Upstairs,Adverb,Almost There,7,2/17/2026
Poshtë,Down / Downstairs,Adverb,Almost There,7,2/17/2026
Drejt,Straight / Towards,Adverb,Almost There,5,2/17/2026
Rreth ose përreth,About / Around,Adverb,Almost There,5,2/17/2026
Majtas,Left,Adverb,Almost There,5,2/17/2026
Përditshme,Daily,Adverb,New,7,3/13/2026
Atëherë / Pra,Then / So,Adverb,New,9,3/13/2026
Vendosim në tepsi,Put in the pan,Command,New,9,2/17/2026
Nxirrni librin,Take out the book,Command,New,9,2/17/2026
Fusni librin në çantë,Put the book in the bag,Command,New,9,2/17/2026
Më flit pak për veten,Speak a little about yourself,Command,Needs Improvement,10,2/17/2026
Kujdes,Be careful,Command,Needs Improvement,10,2/17/2026
Trego,tell me,Command,Needs Improvement,10,2/17/2026
Merrni çantën,Take the bag,Command,Needs Improvement,9,2/17/2026
Më jepni stilolapsin,Give me the pen,Command,Needs Improvement,9,2/17/2026
Hyr brenda,Come on in,Command,Needs Improvement,9,2/17/2026
Ngrihuni në këmbë,Stand up,Command,Needs Improvement,9,2/17/2026
Ecni pak,Walk a little,Command,Needs Improvement,5,2/17/2026
Vazhdoni drejt,Continue straight,Command,Needs Improvement,5,2/17/2026
Mbyllni dritat,Turn off the lights,Command,Needs Improvement,5,2/17/2026
Hapni dritat,Turn on the lights,Command,Needs Improvement,5,2/17/2026
Uluni në karrige,Sit in the chair,Command,Needs Improvement,5,2/17/2026
Eja shpejt!,Come quickly!,Command,Mastered,10,2/17/2026
Hajde,Come,Command,Mastered,10,2/17/2026
Ndalo këtu,Stop here,Command,Mastered,10,2/17/2026
Prit,Wait!,Command,Mastered,9,2/17/2026
Urdhëro,Here you go / Command,Command,Mastered,9,2/17/2026
Ndalo,Stop,Command,Mastered,5,2/17/2026
Më thuaj diçka për veten tënde,Tell me something about yourself,Command,Almost There,10,2/17/2026
Pusho,Stop / Rest,Command,Almost There,10,2/17/2026
mjaft,enough (I've had enough),Command,Almost There,10,2/17/2026
Mbyllni librat,Close the books,Command,Almost There,9,2/17/2026
Qendra rinore,Youth center,Noun (F),New,9,3/6/2026
Pranverë,Spring,Noun (F),New,9,3/4/2026
Verë,Summer,Noun (F),New,9,3/4/2026
Vjeshtë,Fall,Noun (F),New,9,3/4/2026
I/e dashur,Boyfriend/girlfriend,Noun (F),New,9,2/19/2026
Drejtësi,Justice,Noun (F),New,9,2/17/2026
Stinët,Seasons,Noun (F),New,8,3/4/2026
Nanëdajë,Mother's mother,Noun (F),New,8,2/17/2026
Tepsi,Baking Pan,Noun (F),New,8,2/17/2026
E ardhmja,The future,Noun (F),New,7,3/6/2026
Teze,Aunt (Mother's sister),Noun (F),New,7,2/17/2026
Mbesë,Niece / Granddaughter,Noun (F),New,7,2/17/2026
Xhaketë,Jacket,Noun (F),New,7,2/17/2026
Dita e Pavarësisë,Independence Day,Noun (F),New,7,2/17/2026
Berberhane,Barbershop,Noun (F),New,7,2/17/2026
Recetë,Recipe,Noun (F),New,7,2/17/2026
Vetën,Oneself,Noun (F),New,6,2/19/2026
Dita e Çlirimit,Liberation Day,Noun (F),New,6,2/17/2026
Dita e Nënë Terezës,Mother Teresa Day,Noun (F),New,6,2/17/2026
Anije,ship,Noun (F),New,5,3/3/2026
Dita e Verës,Summer Day,Noun (F),New,5,2/17/2026
Fytyra,The face,Noun (F),New,5,2/17/2026
Perde,Curtains,Noun (F),New,5,2/17/2026
Kërkesë,Request,Noun (F),New,5,2/17/2026
Qafa,The neck,Noun (F),New,5,2/17/2026
Dita e Mësuesit,Teachers Day,Noun (F),New,5,2/17/2026
Dita e Punëtorëve,Labor Day,Noun (F),New,5,2/17/2026
Pashkë,Easter,Noun (F),New,5,2/17/2026
Buzët,The lips,Noun (F),New,5,2/17/2026
Vetullat,The eyebrows,Noun (F),New,5,2/17/2026
Dhomë ndenje,Living room,Noun (F),New,5,2/17/2026
Drita e diellit,Sunlight,Noun (F),New,5,2/17/2026
rërë,sand,Noun (F),New,4,3/3/2026
Pelte,Jelly,Noun (F),New,4,2/17/2026
letërsi,literature,Noun (F),New,4,2/17/2026
Goja,The mouth,Noun (F),New,3,2/17/2026
Shpatulla,The shoulder,Noun (F),New,3,2/17/2026
Dysheme,Floor,Noun (F),New,3,2/17/2026
Pupël,Feather,Noun (F),New,3,2/17/2026
kafshë shtëpiake,pets,Noun (F),Needs Improvement,8,2/18/2026
Zyrë,Office,Noun (F),Needs Improvement,8,2/17/2026
Hallë,Aunt (Father's sister),Noun (F),Needs Improvement,7,2/17/2026
Lindje,East / Birth,Noun (F),Needs Improvement,7,2/17/2026
Dritare,Window,Noun (F),Needs Improvement,5,2/17/2026
Derë,Door,Noun (F),Needs Improvement,5,2/17/2026
Lule,Flower,Noun (F),Needs Improvement,5,2/17/2026
Fjali,Sentence,Noun (F),Needs Improvement,5,2/17/2026
Pemë,Tree,Noun (F),Needs Improvement,5,2/17/2026
Hënë,Moon,Noun (F),Needs Improvement,5,2/17/2026
Dhomë gjumi,Bedroom,Noun (F),Needs Improvement,5,2/17/2026
Fjalë,Word,Noun (F),Needs Improvement,5,2/17/2026
Gjellë,Stew,Noun (F),Needs Improvement,5,2/17/2026
Gjyshe,Grandma,Noun (F),Needs Improvement,5,2/17/2026
Folje,Verb,Noun (F),Needs Improvement,5,2/17/2026
Llullë,Pipe,Noun (F),Needs Improvement,5,2/17/2026
Shtëpiak(e),Homemaker,Noun (F),Needs Improvement,5,2/17/2026
Llampë / Abazhur,Lamp,Noun (F),Needs Improvement,5,2/17/2026
Arrë,Walnut,Noun (F),Needs Improvement,5,2/17/2026
Ndajfolje,Adverb,Noun (F),Needs Improvement,5,2/17/2026
Zonjushë,Ms. (Unmarried),Noun (F),Needs Improvement,5,2/17/2026
Mbulesë tavoline,Tablecloth,Noun (F),Needs Improvement,5,2/17/2026
Lugë,Spoon,Noun (F),Needs Improvement,3,2/17/2026
Nevojë,Need,Noun (F),Mastered,10,2/23/2026
pule,chickens,Noun (F),Mastered,10,2/18/2026
dhi,goats,Noun (F),Mastered,10,2/18/2026
Mami,Mom,Noun (F),Mastered,10,2/18/2026
Gotë,Glass,Noun (F),Mastered,9,2/17/2026
frikë,fear,Noun (F),Mastered,9,2/17/2026
Karrige,Chair,Noun (F),Mastered,8,2/17/2026
Makinë,Car,Noun (F),Mastered,8,2/17/2026
Detyrë shtëpie,Homework,Noun (F),Mastered,7,2/17/2026
Vezë,Egg,Noun (F),Mastered,7,2/17/2026
Mollë,Apple,Noun (F),Mastered,6,2/17/2026
Banane,Banana,Noun (F),Mastered,6,2/17/2026
Patate,Potato,Noun (F),Mastered,6,2/17/2026
Mace,Cat,Noun (F),Mastered,6,2/17/2026
Dardhë,Pear,Noun (F),Mastered,6,2/17/2026
Kuzhinë,Kitchen,Noun (F),Mastered,5,2/17/2026
Bukë,Bread / Meal,Noun (F),Mastered,5,2/17/2026
Kafe,Coffee,Noun (F),Mastered,5,2/17/2026
Domate,Tomato,Noun (F),Mastered,5,2/17/2026
Fasule,Bean soup,Noun (F),Mastered,5,2/17/2026
Tavolinë,Table,Noun (F),Mastered,5,2/17/2026
Motër,Sister,Noun (F),Mastered,5,2/17/2026
Bashki,Municipality,Noun (F),Mastered,5,2/17/2026
Çantë,Bag,Noun (F),Mastered,5,2/17/2026
Thikë,Knife,Noun (F),Mastered,5,2/17/2026
Drekë,Lunch,Noun (F),Mastered,5,2/17/2026
Sallatë,Salad,Noun (F),Mastered,5,2/17/2026
Këngë,Song,Noun (F),Mastered,5,2/17/2026
Shkollë,School,Noun (F),Mastered,5,2/17/2026
Dhomë,Room,Noun (F),Mastered,5,2/17/2026
Grua,Woman / Wife,Noun (F),Mastered,5,2/17/2026
Fletore,Notebook,Noun (F),Mastered,5,2/17/2026
Darkë,Dinner,Noun (F),Mastered,5,2/17/2026
Faqe,Page,Noun (F),Mastered,5,2/17/2026
Fli,Flia (dish),Noun (F),Mastered,5,2/17/2026
Biskotë,Biscuit,Noun (F),Mastered,5,2/17/2026
Çokollatë,Chocolate,Noun (F),Mastered,5,2/17/2026
Banjo,Bathroom,Noun (F),Almost There,10,2/17/2026
Llogaritare,Accountant,Noun (F),Almost There,9,2/17/2026
Familje,Family,Noun (F),Almost There,9,2/17/2026
Hundët,The nose,Noun (F),Almost There,9,2/17/2026
Koka,The head,Noun (F),Almost There,9,2/17/2026
Duart,The hands,Noun (F),Almost There,9,2/17/2026
Faqet,The cheeks,Noun (F),Almost There,9,2/17/2026
Këmbët,The legs or the foot,Noun (F),Almost There,9,2/17/2026
Hunda,The nose,Noun (F),Almost There,9,2/17/2026
Fushë/a,Field,Noun (F),Almost There,8,2/19/2026
Mbledhje,Meeting,Noun (F),Almost There,8,2/17/2026
Mjekër,Chin / Beard,Noun (F),Almost There,8,2/17/2026
Intervistë,Interview,Noun (F),Almost There,8,2/17/2026
mami,midwife,Noun (F),Almost There,8,2/17/2026
Zonjë,Mrs. / Lady,Noun (F),Almost There,8,2/17/2026
Kripë,Salt,Noun (F),Almost There,8,2/17/2026
Mbrëma,Evening,Noun (F),Almost There,7,2/17/2026
Birrë,Beer,Noun (F),Almost There,7,2/17/2026
E hënë,Monday,Noun (F),Almost There,7,2/17/2026
E martë,Tuesday,Noun (F),Almost There,7,2/17/2026
E mërkurë,Wednesday,Noun (F),Almost There,7,2/17/2026
E shtunë,Saturday,Noun (F),Almost There,7,2/17/2026
E diel,Sunday,Noun (F),Almost There,7,2/17/2026
E enjte,Thursday,Noun (F),Almost There,7,2/17/2026
Letër,Letter,Noun (F),Almost There,7,2/17/2026
Fotografi,Photograph,Noun (F),Almost There,7,2/17/2026
Gradë,Degrees,Noun (F),Almost There,6,2/17/2026
Vazë e zier,Hard boiled egg,Noun (F),Almost There,6,2/17/2026
Temë,Topic,Noun (F),Almost There,5,2/17/2026
Dhomë gjumi,Bedroom,Noun (F),Almost There,5,2/17/2026
Dita e Alfabetit,Day of the Alphabet,Noun (F),Almost There,5,2/17/2026
Koha,Weather / Time,Noun (F),Almost There,5,2/17/2026
Qepë,Onion,Noun (F),Almost There,5,2/17/2026
E premte,Friday,Noun (F),Almost There,5,2/17/2026
Vajzë,Girl / Daughter,Noun (F),Almost There,5,2/17/2026
Nuse,Bride,Noun (F),Almost There,5,2/17/2026
Tërshërë,Oats,Noun (F),Almost There,5,2/17/2026
Ski,Ski,Noun (F),Almost There,5,2/17/2026
Verë,Summer,Noun (F),Almost There,4,2/17/2026
xhinse,jeans,Noun (F),New,7,3/13/2026
triko,t-shirt,Noun (F),New,7,3/13/2026
bluzë,blouse,Noun (F),New,7,3/13/2026
këmishë,shirt,Noun (F),New,8,3/13/2026
xhaketë,jacket,Noun (F),New,8,3/13/2026
hartë,map,Noun (F),New,6,3/13/2026
lagje,neighborhood,Noun (F),New,8,3/13/2026
Varëse,Necklace,Noun (F),New,4,3/13/2026
Këmishë,Button down shirt,Noun (F),New,6,3/13/2026
Bluzë me mëngë të shkurta,T-shirt / Short sleeve,Noun (F),New,6,3/13/2026
Bluzë me mëngë të gjata,Long sleeve shirt,Noun (F),New,6,3/13/2026
Këpucë,Shoes,Noun (F),New,8,3/13/2026
Bujqësi,Agriculture,Noun (F),New,4,3/13/2026
Dimër,Winter,Noun (M),New,9,3/4/2026
Kurrizi,The back / spine,Noun (M),New,9,2/17/2026
Veshi,The ear,Noun (M),New,9,2/17/2026
Gjoksi,The chest,Noun (M),New,9,2/17/2026
Qëllim,Purpose / Goal,Noun (M),New,8,3/6/2026
Janar,January,Noun (M),New,8,3/4/2026
Shkurt,February,Noun (M),New,8,3/4/2026
Mars,March,Noun (M),New,8,3/4/2026
Prill,April,Noun (M),New,8,3/4/2026
Maj,May,Noun (M),New,8,3/4/2026
Qershor,June,Noun (M),New,8,3/4/2026
Korrik,July,Noun (M),New,8,3/4/2026
Gusht,August,Noun (M),New,8,3/4/2026
Shtator,September,Noun (M),New,8,3/4/2026
Tetor,October,Noun (M),New,8,3/4/2026
Nëntor,November,Noun (M),New,8,3/4/2026
Dhjetor,December,Noun (M),New,8,3/4/2026
Zjarrin,The fire,Noun (M),New,8,3/4/2026
vend,Place,Noun (M),New,8,3/3/2026
vendi,country,Noun (M),New,8,3/3/2026
Gabim,Mistake,Noun (M),New,8,2/19/2026
Babëdajë,Mother's father,Noun (M),New,8,2/17/2026
Anëtar familje,Family member,Noun (M),New,8,2/17/2026
Frymëzim,Inspiration,Noun (M),New,7,3/6/2026
kuaj,horses,Noun (M),New,7,2/18/2026
Dajë,Uncle (Mother's brother),Noun (M),New,7,2/17/2026
Veri,North,Noun (M),New,7,2/17/2026
Jug,South,Noun (M),New,7,2/17/2026
Kuptim,Understanding,Noun (M),New,6,2/17/2026
Novruz,Novruz (Holiday),Noun (M),New,6,2/17/2026
Tas,Bowl,Noun (M),New,6,2/17/2026
Babagysh,Santa / Grandfather,Noun (M),New,6,2/17/2026
Nip,Nephew / Grandson,Noun (M),New,5,2/17/2026
Bajram,Bajram (Holiday),Noun (M),New,5,2/17/2026
Vathë,Earring,Noun (M),New,5,2/17/2026
budalla,Fool,Noun (M),New,4,3/3/2026
Qerpik,Eyelash,Noun (M),New,3,2/17/2026
Tavan,Ceiling,Noun (M),New,3,2/17/2026
Gjuri,The knee,Noun (M),New,3,2/17/2026
Derr,Pig,Noun (M),New,3,2/17/2026
Gjel deti,Turkey,Noun (M),New,3,2/17/2026
Çelës,Key,Noun (M),Needs Improvement,9,2/20/2026
asgjë,nothing,Noun (M),Needs Improvement,9,2/18/2026
Gishtat,The fingers and the toes,Noun (M),Needs Improvement,9,2/17/2026
Fyti,The throat,Noun (M),Needs Improvement,9,2/17/2026
Krahu,The arms,Noun (M),Needs Improvement,9,2/17/2026
Viti i Ri,New Year,Noun (M),Needs Improvement,5,2/17/2026
Gjysh,Grandpa,Noun (M),Needs Improvement,5,2/17/2026
Vit,Year,Noun (M),Needs Improvement,5,2/17/2026
Zjarr,Fire,Noun (M),Needs Improvement,5,2/17/2026
Numër,Number,Noun (M),Needs Improvement,5,2/17/2026
Mbiemër,Surname,Noun (M),Needs Improvement,5,2/17/2026
Sytë,The eyes,Noun (M),Needs Improvement,5,2/17/2026
Krah,Arm,Noun (M),Needs Improvement,5,2/17/2026
Infermier,Nurse,Noun (M),Needs Improvement,5,2/17/2026
Kamarier,Server,Noun (M),Needs Improvement,5,2/17/2026
Muaj,Month,Noun (M),Needs Improvement,5,2/17/2026
Tapet,Carpet,Noun (M),Needs Improvement,5,2/17/2026
Mësim,Lesson,Noun (M),Needs Improvement,5,2/17/2026
Nxënës / Student,Student,Noun (M),Needs Improvement,5,2/17/2026
Mjek / Doktor,Doctor,Noun (M),Needs Improvement,5,2/17/2026
Kuzhinier,Chef,Noun (M),Needs Improvement,5,2/17/2026
Shkrimtar,Writer,Noun (M),Needs Improvement,5,2/17/2026
Përkthyes,Translator,Noun (M),Needs Improvement,5,2/17/2026
Miell,Flour,Noun (M),Needs Improvement,5,2/17/2026
Korpus i Paqes,Peace Corps,Noun (M),Needs Improvement,5,2/17/2026
Barku,The belly,Noun (M),Needs Improvement,5,2/17/2026
Shtet,State,Noun (M),Needs Improvement,5,2/17/2026
Dollap,Closet / Cupboard,Noun (M),Needs Improvement,4,2/17/2026
Diell,Sun,Noun (M),Needs Improvement,3,2/17/2026
Dhëmbët,The teeth,Noun (M),Needs Improvement,3,2/17/2026
Babi,Dad,Noun (M),Mastered,10,2/17/2026
Pirun,Fork,Noun (M),Mastered,9,2/17/2026
Dimër,Winter,Noun (M),Mastered,9,2/17/2026
Libër,Book,Noun (M),Mastered,8,2/17/2026
Shëndet,Bless you / Health,Noun (M),Mastered,8,2/17/2026
Vullnetar,Volunteer,Noun (M),Mastered,8,2/17/2026
Shok,Friend (M),Noun (M),Mastered,8,2/17/2026
Qejf,Fun,Noun (M),Mastered,8,2/17/2026
Pushim,Break / Rest,Noun (M),Mastered,8,2/17/2026
Çaj,Tea,Noun (M),Mastered,7,2/17/2026
Kos,Yogurt,Noun (M),Mastered,7,2/17/2026
Mësues,Teacher,Noun (M),Mastered,7,2/17/2026
Ushtrim,Exercise,Noun (M),Mastered,7,2/17/2026
Ulli,Olive,Noun (M),Mastered,7,2/17/2026
Portokall,Orange,Noun (M),Mastered,6,2/17/2026
Qytet,City,Noun (M),Mastered,6,2/17/2026
Dyqan,Store / Shop,Noun (M),Mastered,5,2/17/2026
Ujë,Water,Noun (M),Mastered,5,2/17/2026
Qumësht,Milk,Noun (M),Mastered,5,2/17/2026
Mish,Meat,Noun (M),Mastered,5,2/17/2026
Byrek,Pie,Noun (M),Mastered,5,2/17/2026
Vëlla,Brother,Noun (M),Mastered,5,2/17/2026
Një,1,Noun (M),Mastered,5,2/17/2026
Dy,2,Noun (M),Mastered,5,2/17/2026
Tre,3,Noun (M),Mastered,5,2/17/2026
Katër,4,Noun (M),Mastered,5,2/17/2026
Pesë,5,Noun (M),Mastered,5,2/17/2026
Gjashtë,6,Noun (M),Mastered,5,2/17/2026
Shtatë,7,Noun (M),Mastered,5,2/17/2026
Tetë,8,Noun (M),Mastered,5,2/17/2026
Nëntë,9,Noun (M),Mastered,5,2/17/2026
Dhjetë,10,Noun (M),Mastered,5,2/17/2026
Dymbëdhjetë,12,Noun (M),Mastered,5,2/17/2026
Katërmbëdhjetë,14,Noun (M),Mastered,5,2/17/2026
Pesëmbëdhjetë,15,Noun (M),Mastered,5,2/17/2026
Njëzet,20,Noun (M),Mastered,5,2/17/2026
Tridhjetë,30,Noun (M),Mastered,5,2/17/2026
Djalë,Boy / Son,Noun (M),Mastered,5,2/17/2026
Qen,Dog,Noun (M),Mastered,5,2/17/2026
Pilaf,Rice,Noun (M),Mastered,5,2/17/2026
Burrë,Man / Husband,Noun (M),Mastered,5,2/17/2026
Dush,Shower,Noun (M),Mastered,5,2/17/2026
Telefon,Phone,Noun (M),Mastered,5,2/17/2026
Shembull,Example,Noun (M),Mastered,5,2/17/2026
Limon,Lemon,Noun (M),Mastered,5,2/17/2026
Mëngjes,Morning / Breakfast,Noun (M),Mastered,5,2/17/2026
Aeroplan,Airplane,Noun (M),Mastered,5,2/17/2026
Njëmbëdhjetë,11,Noun (M),Mastered,5,2/17/2026
Gjashtëmbëdhjetë,16,Noun (M),Mastered,5,2/17/2026
Tetëmbëdhjetë,18,Noun (M),Mastered,5,2/17/2026
Njëzet e një,21,Noun (M),Mastered,5,2/17/2026
Dyzet,40,Noun (M),Mastered,5,2/17/2026
Njëqind,100,Noun (M),Mastered,5,2/17/2026
Dy qind,200,Noun (M),Mastered,5,2/17/2026
Zero,0,Noun (M),Mastered,5,2/17/2026
Djathë,Cheese,Noun (M),Mastered,5,2/17/2026
Peshk,Fish,Noun (M),Mastered,5,2/17/2026
Divan,Couch,Noun (M),Mastered,5,2/17/2026
Jastëk,Pillow,Noun (M),Mastered,5,2/17/2026
Shtatëmbëdhjetë,17,Noun (M),Mastered,5,2/17/2026
Një mijë,"1,000",Noun (M),Mastered,5,2/17/2026
Një qind mijë,"100,000",Noun (M),Mastered,5,2/17/2026
Kastravec,Cucumber,Noun (M),Mastered,5,2/17/2026
